"opcode","name","builtin","f1","f2","f3","i1","i2","o1","o2","m1","m2","token","comment"
"259","ObjectOf","OBJECT_OF","ObjectOf","undef","undef"," METHOD","METHOD","XX","YY","1","1","OK+I","mds	(method)"
"260","Octaword","OCTAWORD","Same","Keep","undef","O","O","O","O","1","1","CAST+N+I","%	(a)"
"261","OctawordUnsigned","OCTAWORD_UNSIGNED","Same","Keep","undef","OU","OU","OU","OU","1","1","CAST+N+I","%	(a)"
"262","OnError","ON_ERROR","OnError","undef","undef","XX","YY","XX","YY","1","1","OK","(a,b..) a, on (error) b"
"263","OpcodeBuiltin","OPCODE_BUILTIN","Trim","undef","OpcodeBuiltin","WU","L","T","T","1","1","OK","(opcode)"
"264","OpcodeString","OPCODE_STRING","Trim","undef","OpcodeString","WU","L","T","T","1","1","OK","(opcode)"
"265","Fopen","FOPEN","Fopen","undef","undef","T","T","L","L","2","254","OK+U","%cc	unit=(file,mode,[arg..])"
"266","Optional","OPTIONAL","Else","undef","undef","XX","YY","XX","YY","1","1","MODIFA+N","OPTIONAL a"
"267","Or","OR","Same","Land","Or","BU","O","VV","VV","2","2","LOR+N","%	(v,w)	v||w	v.OR.w"
"268","OrNot","OR_NOT","Same","Land","OrNot","BU","O","VV","VV","2","2","LOR+N","%	(v,w)	v.OR..NOT.w"
"269","Out","OUT","Else","undef","undef","XX","YY","XX","YY","1","1","MODIFA+N","OUT a	write only"
"270","Pack","PACK","Pack","undef","undef","XX","YY","XX","YY","2","3","OK","f9	(a,mask,[vector])"
"271","PhaseOf","PHASE_OF","PhaseOf","undef","undef"," ACTION","DISPATCH","T","T","1","1","OK+I","mds	(dispatch)"
"272","PostDec","POST_DEC","PostDec","undef","undef","BU","HC","BU","HC","1","1","INC+S+U","%cc	a--"
"273","PostInc","POST_INC","PostInc","undef","undef","BU","HC","BU","HC","1","1","INC+S+U","%cc	a++"
"274","Power","POWER","Same","Power","Power","BU","HC","BU","HC","2","2","POWER+S","%	a^b a**b"
"275","Present","PRESENT","Present","undef","undef","XX","YY","VV","VV","1","1","OK","f9	(a)"
"276","PreDec","PRE_DEC","PreDec","undef","undef","BU","HC","BU","HC","1","1","INC+S+U","%cc	--a"
"277","PreInc","PRE_INC","PreInc","undef","undef","BU","HC","BU","HC","1","1","INC+S+U","%cc	++a"
"278","Private","PRIVATE","Private","undef","undef","T","T","XX","YY","1","1","MODIF+N","PRIVATE a"
"279","ProcedureOf","PROCEDURE_OF","ProcedureOf","undef","undef","PROCEDURE","PROCEDURE","XX","YY","1","1","OK+I","mds	(procedure)"
"280","Product","PRODUCT","Trans","Mask3","Product","BU","HC","BU","HC","1","3","OK","f9	(array,[dim],[mask])"
"281","ProgramOf","PROGRAM_OF","ProgramOf","undef","undef"," PROGRAM","PROGRAM","XX","YY","1","1","OK+I","mds	(program)"
"282","Project","PROJECT","Project","undef","undef","XX","YY","XX","YY","3","4","OK","(arr,mask,field,[dim])"
"283","Promote","PROMOTE","Promote","undef","undef","XX","YY","XX","YY","2","2","PROMO+S+U","ncopies@b"
"284","Public","PUBLIC","Public","undef","undef","T","T","XX","YY","1","1","MODIF+N","PUBLIC a"
"285","Quadword","QUADWORD","Same","Keep","undef","Q","Q","Q","Q","1","1","CAST+N+I","%	(a)"
"286","QuadwordUnsigned","QUADWORD_UNSIGNED","Same","Keep","undef","QU","QU","QU","QU","1","1","CAST+N+I","%	(a)"
"287","QualifiersOf","QUALIFIERS_OF","QualifiersOf","undef","undef"," CONGLOM","CONGLOM","XX","YY","1","1","OK+I","mds	(conglom)"
"288","Radix","RADIX","Scalar","Any","Radix","BU","HC","L","L","1","1","OK","f9	(model)"
"289","Ramp","RAMP","Array","undef","Ramp","XX","YY","L","L","0","2","OK+U","([size],[kind])"
"290","Random","RANDOM","Array","undef","Random","XX","YY","FLOAT","F","0","2","OK+U","f9var ([size],[kind])"
"291","RandomSeed","RANDOM_SEED","RandomSeed","undef","undef","L","L","L","L","0","1","OK+U","f9var ([put])"
"292","DtypeRange","DTYPE_RANGE","DtypeRange","undef","undef","BU","HC","BU","HC","2","3","RANGE+S+U","%	a:b:[c] a..b..[c]"
"293","Rank","RANK","Scalar","Any","Rank","XX","YY","L","L","1","1","OK","fex	(a)"
"294","RawOf","RAW_OF","RawOf","undef","undef"," SIGNAL","SIGNAL","XX","YY","1","1","OK+I","mds	(signal)"
"295","Read","READ","Read","undef","undef","XX","YY","T","T","1","1","OK","%	(unit|*,fmt|*,arg...)"
"296","Real","REAL","Same","Real","undef","F","H","F","H","1","2","OK+I","f9	(a,[kind])"
"297","Rebin","REBIN","Rebin","undef","undef","BU","HC","BU","HC","2","4","OK","(a,size1,...)"
"298","Ref","REF","Else","undef","undef","XX","YY","XX","YY","1","1","OK","vax	(any)"
"299","Repeat","REPEAT","Same","Repeat","Repeat","T","T","T","T","2","2","OK+U","f9	(string,ncopies)"
"300","Replicate","REPLICATE","Trans","Sign","Replicate","XX","YY","XX","YY","3","3","OK+U","fex	(array,dim,ncopies)"
"301","Reshape","RESHAPE","Reshape","undef","undef","XX","YY","XX","YY","2","4","OK","f9	(dimvec,a,[pad],[order])"
